"日付","開催","天気","R","レース名","映像","頭数","枠番","馬番","オッズ","人気","着順","騎手","斤量","距離","馬場","馬場指数","タイム","着差","ﾀｲﾑ指数","通過","ペース","上り","馬体重","厩舎ｺﾒﾝﾄ","備考","勝ち馬(2着馬)","賞金"
"2006/04/26","2阪神1","曇","10","山陽特別(1000万下)","","15","3","5","16.3","10","5","小牧太","55","芝1600","良","","1:35.0","0.3","","1-1-1","35.5-35.2","35.5","466(+4)","","","ゲイリースティング","45.0"
"2005/03/26","2阪神1","曇","10","山陽特別(1000万下)","","15","3","5","16.3","10","5","小牧太","55","芝1600","良","","1:35.0","0.3","","1-1-1","35.5-35.2","35.5","466(+4)","","","ゲイリースティング","1145.0"
"2005/03/13","1中京4","曇","12","鈴鹿特別(1000万下)","","16","8","16","6.9","2","13","芹沢純一","55","芝1200","良","","1:11.1","1.0","","6-6","33.8-36.3","36.8","462(+14)","","","ナゾ",""
"2003/12/07","5阪神2","晴","12","ゴールデンサドルT(1000万下)","","14","8","14","2.5","1","3","安藤勝己","56","芝1600","良","","1:34.4","0.0","","3-2-2","35.4-35.6","35.6","448(+2)","","","アルビレオ","365.2"
"2003/11/16","5京都4","晴","10","宝ケ池特別(1000万下)","","10","5","5","5.4","2","2","蛯名正義","55","芝1400","良","","1:21.8","0.1","","1-1","35.7-34.4","34.5","446(-12)","","","アドマイヤテレサ","587.2"
"2003/10/18","4京都3","晴","9","東山特別(1000万下)","","10","8","10","6.4","3","4","池添謙一","55","芝1600","良","","1:34.0","0.2","","1-1","35.0-35.0","35.2","458(+8)","","","エイシンシャイアン","220.0"
"2003/09/13","4阪神1","晴","10","蓬莱峡特別(1000万下)","","11","8","11","13.3","6","1","池添謙一","55","芝1600","良","","1:33.8","-0.6","","1-1-1","35.5-34.9","34.9","450(0)","","","(ウォーターゴーラン)","1477.3"
"2003/08/24","3小倉4","曇","10","西海賞(1000万下)","","10","4","4","10.1","4","5","池添謙一","55","芝1800","良","","1:49.0","0.4","","1-1-1-1","36.8-35.3","35.7","450(+8)","","","ベストアルバム","145.0"
"2003/07/26","2小倉3","晴","10","日南特別(1000万下)","","16","8","16","15.9","4","12","池添謙一","55","芝1800","良","","1:48.5","1.6","","2-2-2-2","35.3-35.3","36.9","442(-10)","","","メイショウドメニカ",""
"2003/04/05","2阪神3","曇","10","道頓堀S(1600万下)","","18","5","9","13.5","6","14","小池隆生","51","芝1600","重","","1:35.6","1.8","","1-1-1","34.9-35.8","37.6","452(+12)","","","キスミーテンダー",""
"2003/03/15","3中山5","曇","11","中山牝馬S(G3)","","16","1","1","24.6","9","12","武士沢友","49","芝1800","良","","1:47.9","1.2","","1-1-1-1","35.4-36.2","37.4","440(-6)","","","レディパステル",""
"2003/02/22","2京都7","雨","10","木津川特別(1000万下)","","16","1","1","23.8","8","1","小池隆生","51","芝1600","良","","1:34.6","-0.1","","1-1","35.1-36.0","36.0","446(+12)","","","(ダイタクソニック)","1,491.3"
"2003/01/25","1小倉3","晴","8","4歳以上500万下","","16","6","12","6.1","4","1","ルメール","54","芝1800","良","","1:50.6","-0.2","","2-2-2-2","37.3-36.1","36.0","434(-4)","","","(ウィルビーゼア)","750.0"
"2003/01/12","1京都4","晴","7","4歳以上500万下","","16","3","6","4.9","3","5","ルメール","54","ダ1400","良","","1:26.4","0.9","","5-5","35.4-37.6","38.0","438(-2)","","","ディペンドオンユー","75.0"
"2002/12/21","3中京7","雨","6","3歳以上500万下","","16","6","12","10.7","5","2","ルメール","53","ダ1700","重","","1:45.7","0.2","","2-2-2-2","29.4-37.3","37.4","440(+2)","","","バアゼルクローバー","300.0"
"2002/12/07","3中京3","小雨","9","恵那特別(500万下)","","18","5","9","36.4","9","7","ルメール","53","芝1200","良","","1:10.2","0.4","","9-9","34.4-35.4","35.3","438(0)","","","ニックルフェザー",""
"2002/11/09","5京都3","曇","7","3歳以上500万下","","18","8","16","47.2","9","11","四位洋文","53","芝1800","良","","1:48.9","1.5","","3-2","35.3-35.2","36.2","438(+4)","","","シアリアスバイオ",""
"2002/10/12","4京都3","晴","6","3歳以上500万下","","13","6","8","2.1","1","9","武豊","53","ダ1800","良","","1:57.4","3.3","","4-3-4-5","35.9-39.4","42.3","434(+6)","","","ワンモアリウン",""
"2002/06/09","2中京8","晴","6","3歳500万下","","14","3","3","7.1","3","10","牧田和弥","53","芝1800","良","","1:52.0","1.7","","6-6-9-10","37.2-36.4","37.3","428(+12)","","","ニシオノーブル",""
"2002/05/19","2中京2","曇","6","3歳500万下","","14","6","10","6.5","4","3","牧田和弥","53","芝1800","良","","1:50.2","0.1","","5-5-3-2","35.0-38.5","37.7","416(-4)","","","ジョーフュージョン","180.0"
"2002/04/21","3東京2","雨","11","サンスポ賞フローラS(G2)","","14","7","12","15.2","8","12","牧田和弥","54","芝2000","稍","","2:06.5","2.5","","1-2-2","36.3-36.8","39.3","420(-4)","","","ニシノハナグルマ",""
"2002/03/24","1中京8","晴","2","3歳未勝利","","15","6","11","1.7","1","1","牧田和弥","53","ダ1700","良","","1:49.7","-0.7","","2-2-2-2","30.3-39.5","39.4","424(0)","","","(シャンハイウイング)","510.0"
"2002/02/17","2京都8","曇","4","3歳新馬","","15","8","14","1.6","1","2","牧田和弥","53","芝1600","良","","1:35.4","0.0","","2-2","35.5-35.9","35.7","424(0)","","","タイフィール","240.0"
"2002/02/03","2京都4","曇","6","3歳新馬","","14","8","13","8.2","4","2","牧田和弥","53","芝1800","良","","1:49.7","0.3","","3-3","36.4-35.6","35.8","424(0)","","","レガシードール","240.0"
