"日付","開催","天気","R","レース名","映像","頭数","枠番","馬番","オッズ","人気","着順","騎手","斤量","距離","馬場","馬場指数","タイム","着差","ﾀｲﾑ指数","通過","ペース","上り","馬体重","厩舎ｺﾒﾝﾄ","備考","勝ち馬(2着馬)","賞金"
"2002/05/11","3京都7","小雨","2","3歳未勝利","","18","7","14","85.5","14","17","幸英明","53","芝1600","稍","","1:39.2","2.0","","13-16","35.4-36.8","37.8","462(+2)","","","シンデレラボーイ","100"
"2002/04/28","1新潟4","晴","5","3歳未勝利","","16","2","3","30.1","10","10","小林慎一","51","芝2000","良","","2:04.8","1.6","","9-10-9-9","35.6-37.0","37.3","460(-8)","","","ラビアータ","300.5"
"2002/03/16","1阪神7","晴","2","3歳未勝利","","13","5","6","46.1","6","12","福永祐一","53","ダ1800","良","","2:02.1","6.4","","6-7-10-13","37.7-39.4","44.1","468(+10)","","","エローグ",""
"2001/11/25","3中京2","晴","2","2歳新馬","","9","4","4","18.0","6","8","小林慎一","51","ダ1700","良","","1:54.6","4.4","","4-4-8-8","29.9-40.3","43.2","458(0)","","","シークェンス","1200"
